name,title,barcode,size,brand,image3,category
HEWDA1-1342,Cannes Beige,8435476188297,42,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-beige-sandals-alohas-682995.jpg?v=1676501994,shoes
HEWDA5-6435,Cannes Check Canvas,8435476124974,35,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-check-canvas-sandals-alohas-294496.jpg?v=1677084005,shoes
HEWDA5-6436,Cannes Check Canvas,8435476124981,36,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-check-canvas-sandals-alohas-294496.jpg?v=1677084005,shoes
HEWDA5-6437,Cannes Check Canvas,8435476124998,37,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-check-canvas-sandals-alohas-294496.jpg?v=1677084005,shoes
HEWDA5-6438,Cannes Check Canvas,8435476125001,38,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-check-canvas-sandals-alohas-294496.jpg?v=1677084005,shoes
HEWDA5-6439,Cannes Check Canvas,8435476125018,39,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-check-canvas-sandals-alohas-294496.jpg?v=1677084005,shoes
HEWDA5-6440,Cannes Check Canvas,8435476125025,40,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-check-canvas-sandals-alohas-294496.jpg?v=1677084005,shoes
HEWDA5-6441,Cannes Check Canvas,8435476125032,41,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-check-canvas-sandals-alohas-294496.jpg?v=1677084005,shoes
HEWDA1-0935,Cannes Astro Red Leather Sandals,8445913038580,35,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-astro-red-leather-sandals-sandals-alohas-453544.jpg?v=1676509677,shoes
HEWDA1-0936,Cannes Astro Red Leather Sandals,8445913038597,36,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-astro-red-leather-sandals-sandals-alohas-453544.jpg?v=1676509677,shoes
HEWDA1-0937,Cannes Astro Red Leather Sandals,8445913038603,37,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-astro-red-leather-sandals-sandals-alohas-453544.jpg?v=1676509677,shoes
HEWDA1-0938,Cannes Astro Red Leather Sandals,8445913038610,38,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-astro-red-leather-sandals-sandals-alohas-453544.jpg?v=1676509677,shoes
HEWDA1-0939,Cannes Astro Red Leather Sandals,8445913038627,39,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-astro-red-leather-sandals-sandals-alohas-453544.jpg?v=1676509677,shoes
HEWDA1-0940,Cannes Astro Red Leather Sandals,8445913038634,40,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-astro-red-leather-sandals-sandals-alohas-453544.jpg?v=1676509677,shoes
HEWDA1-0941,Cannes Astro Red Leather Sandals,8445913038641,41,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-astro-red-leather-sandals-sandals-alohas-453544.jpg?v=1676509677,shoes
HEWDA1-0942,Cannes Astro Red Leather Sandals,8445913038658,42,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-astro-red-leather-sandals-sandals-alohas-453544.jpg?v=1676509677,shoes
HEWDA1-1035,Cannes Stone Grey Leather Sandals,8445913038665,35,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-stone-grey-leather-sandals-sandals-alohas-121831.jpg?v=1676509240,shoes
HEWDA1-1036,Cannes Stone Grey Leather Sandals,8445913038672,36,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-stone-grey-leather-sandals-sandals-alohas-121831.jpg?v=1676509240,shoes
HEWDA1-1037,Cannes Stone Grey Leather Sandals,8445913038689,37,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-stone-grey-leather-sandals-sandals-alohas-121831.jpg?v=1676509240,shoes
HEWDA1-1038,Cannes Stone Grey Leather Sandals,8445913038696,38,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-stone-grey-leather-sandals-sandals-alohas-121831.jpg?v=1676509240,shoes
HEWDA1-1039,Cannes Stone Grey Leather Sandals,8445913038702,39,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-stone-grey-leather-sandals-sandals-alohas-121831.jpg?v=1676509240,shoes
HEWDA1-1040,Cannes Stone Grey Leather Sandals,8445913038719,40,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-stone-grey-leather-sandals-sandals-alohas-121831.jpg?v=1676509240,shoes
HEWDA1-1041,Cannes Stone Grey Leather Sandals,8445913038726,41,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-stone-grey-leather-sandals-sandals-alohas-121831.jpg?v=1676509240,shoes
HEWDA1-1042,Cannes Stone Grey Leather Sandals,8445913038733,42,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-stone-grey-leather-sandals-sandals-alohas-121831.jpg?v=1676509240,shoes
HEWDA1-2135,Cannes Red Leather Sandals,8435647907672,35,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-red-leather-sandals-sandals-alohas-780546.jpg?v=1676510673,shoes
HEWDA1-2136,Cannes Red Leather Sandals,8435647907689,36,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-red-leather-sandals-sandals-alohas-780546.jpg?v=1676510673,shoes
HEWDA1-2137,Cannes Red Leather Sandals,8435647907696,37,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-red-leather-sandals-sandals-alohas-780546.jpg?v=1676510673,shoes
HEWDA1-2138,Cannes Red Leather Sandals,8435647907702,38,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-red-leather-sandals-sandals-alohas-780546.jpg?v=1676510673,shoes
HEWDA1-2139,Cannes Red Leather Sandals,8435647907719,39,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-red-leather-sandals-sandals-alohas-780546.jpg?v=1676510673,shoes
HEWDA1-2140,Cannes Red Leather Sandals,8435647907726,40,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-red-leather-sandals-sandals-alohas-780546.jpg?v=1676510673,shoes
HEWDA1-2141,Cannes Red Leather Sandals,8435647907733,41,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-red-leather-sandals-sandals-alohas-780546.jpg?v=1676510673,shoes
HEWDA1-2142,Cannes Red Leather Sandals,8435647907740,42,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-red-leather-sandals-sandals-alohas-780546.jpg?v=1676510673,shoes
HEWDA1-2535,Cannes Black,8435476131033,35,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-sandals-alohas-253560.jpg?v=1676510683,shoes
HEWDA1-2536,Cannes Black,8435476131040,36,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-sandals-alohas-253560.jpg?v=1676510683,shoes
HEWDA1-2537,Cannes Black,8435476131057,37,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-sandals-alohas-253560.jpg?v=1676510683,shoes
HEWDA1-2538,Cannes Black,8435476131064,38,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-sandals-alohas-253560.jpg?v=1676510683,shoes
HEWDA1-2539,Cannes Black,8435476131071,39,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-sandals-alohas-253560.jpg?v=1676510683,shoes
HEWDA1-2540,Cannes Black,8435476131088,40,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-sandals-alohas-253560.jpg?v=1676510683,shoes
HEWDA1-2541,Cannes Black,8435476131095,41,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-sandals-alohas-253560.jpg?v=1676510683,shoes
HEWDA1-2542,Cannes Black,8445913054955,42,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-sandals-alohas-253560.jpg?v=1676510683,shoes
